# Data extracted from GeoNames database (http://www.geonames.org) by zyGrib (http://www.zygrib.org)
# Format: country;name;population;latitude;longitude
#
AR;Lamarque;7819;-39.4;-65.7
AR;Laguna Larga;7137;-31.76667;-63.8
AR;Lago Puelo;4046;-42.08333;-71.63333
AR;La Francia;3503;-31.4;-62.63333
AR;La Cumbre;7235;-30.96667;-64.5
AR;La Cocha;7066;-27.78333;-65.56667
AR;La Clotilde;3625;-27.13333;-60.66667
AR;Laborde;5492;-33.15;-62.85
AR;Justo Daract;9680;-33.86667;-65.18333
AR;Justiniano Posse;7406;-32.88333;-62.66667
AR;James Craik;4560;-32.15;-63.46667
AR;Isla Verde;4245;-33.23333;-62.4
AR;Intendente Alvear;6990;-35.23333;-63.58333
AR;Inriville;3778;-32.93333;-62.23333
AR;Ingenio La Esperanza;5002;-24.21667;-64.85
AR;Ingeniero Luis A. Huergo;6483;-39.08333;-67.23333
AR;Ingeniero Luiggi;4671;-35.41667;-64.48333
AR;Ingeniero Jacobacci;5785;-41.3;-69.58333
AR;Icaño;6857;-28.9;-65.31667
AR;Huinca Renancó;8637;-34.83333;-64.38333
AR;Huillapima;7779;-28.73333;-65.98333
AR;Huerta Grande;5630;-31.06667;-64.5
AR;Hersilia;3000;-30;-61.85
AR;Hermoso Campo;7435;-27.6;-61.35
AR;Guatraché;5271;-37.66667;-63.53333
AR;Graneros;5263;-27.65;-65.45
AR;General Ramírez;8614;-32.18333;-60.2
AR;General Levalle;5492;-34.01667;-63.93333
AR;General Fernández Oro;6813;-38.95;-67.91667
AR;General Enrique Godoy;3823;-39.08333;-67.15
AR;General Conesa;5595;-40.1;-64.43333
AR;Gancedo;3737;-27.5;-61.7
AR;Gaimán;5753;-43.28333;-65.48333
AR;Fray Luis Beltrán;6401;-39.31667;-65.76667
AR;Fiambalá;8061;-27.68333;-67.63333
AR;Etruria;3788;-32.93333;-63.25
AR;Estanislao del Campo;4055;-25.05;-60.1
AR;El Maitén;3782;-42.05;-71.16667
AR;El Galpón;8357;-25.38333;-64.63333
AR;El Carril;9780;-25.08333;-65.46667
AR;El Calafate;8000;-50.34075;-72.27682
AR;El Aguilar;3655;-23.2;-65.7
AR;Eduardo Castex;9861;-35.9;-64.3
AR;Devoto;5597;-31.4;-62.31667
AR;Despeñaderos;5645;-31.81667;-64.3
AR;Del Campillo;3155;-34.36667;-64.48333
AR;Cruz Alta;6862;-33.0075;-61.81306
AR;Corral de Bustos;9882;-33.28333;-62.2
AR;Coronel Moldes;8104;-33.63333;-64.6
AR;Coronel Du Graty;9140;-27.66667;-60.93333
AR;Concepción del Bermejo;5830;-26.6;-60.95
AR;Concarán;4530;-32.56667;-65.25
AR;Comandante Luis Piedra Buena;4176;-49.98333;-68.9
AR;Colonia Barón;3317;-36.15;-63.83333
AR;Clodomira;9043;-27.58333;-64.13333
AR;Choele Choel;9791;-39.26667;-65.68333
AR;Chimpay;3905;-39.16667;-66.15
AR;Chicoana;8468;-25.1;-65.55
AR;Chichinales;4060;-39.1;-66.93333
AR;Cervantes;5173;-39.05;-67.38333
AR;Catriló;3743;-36.43333;-63.4
AR;Castro Barros;4322;-30.58333;-65.73333
AR;Capilla del Monte;9085;-30.85;-64.51667
AR;Capayán;6358;-28.76667;-66.06667
AR;Canals;8343;-33.55;-62.88333
AR;Campo Quijano;5000;-24.91667;-65.65
AR;Campo Gallo;5455;-26.58333;-62.85
AR;Camilo Aldao;4895;-33.11667;-62.1
AR;Calingasta;8176;-31.33861;-69.415
AR;Calilegua;5174;-23.78333;-64.78333
AR;Caimancito;5403;-23.73333;-64.58333
AR;Brinkmann;8237;-30.86667;-62.03333
AR;Berrotarán;6446;-32.46667;-64.4
AR;Beltrán;5321;-27.83333;-64.06667
AR;Balnearia;5585;-31;-62.66667
AR;Aviá Terai;6821;-26.7;-60.73333
AR;Arias;6928;-33.63333;-62.41667
AR;Apolinario Saravia;8595;-24.41667;-64.03333
AR;Ancasti;3082;-28.81667;-65.5
AR;Aluminé;3720;-39.21667;-70.95
AR;Alejo Ledesma;3310;-33.61667;-62.61667
AR;Alejandro Roca;4724;-33.35;-63.71667
AR;Adelia María;6434;-33.61667;-64.03333
AR;Abra Pampa;9425;-22.71667;-65.7
AR;Villa Berna;5000;-31.90321;-64.75651
AR;Cuesta Blanca;3200;-31.48658;-64.5715
AS;Faleniu;3200;-14.3325;-170.74444
AS;Leone;4050;-14.34389;-170.785
AS;Pago Pago;4196;-14.27806;-170.7025
AT;Neu-Guntramsdorf;9071;48.0642;16.31573
AT;Zistersdorf;5661;48.53333;16.75
AT;Zirl;6567;47.28333;11.23333
AT;Zeltweg;7726;47.18333;14.75
AT;Ybbs an der Donau;5676;48.16667;15.08333
AT;Wördern;6886;48.334;16.21016
AT;Wolkersdorf;6416;48.38333;16.51667
AT;Wolfurt;8110;47.46667;9.75
AT;Wilhelmsburg;6718;48.10571;15.60539
AT;Wiener Neudorf;8530;48.08278;16.31384
AT;Wernberg;5070;46.61667;13.93333
AT;Werfen;3059;47.46667;13.18333
AT;Weiz;9128;47.21667;15.61667
AT;Wattens;7517;47.28333;11.6
AT;Waidhofen an der Thaya;5838;48.81667;15.28333
AT;Vorchdorf;7455;48;13.91667
AT;Vomp;4628;47.33333;11.68333
AT;Völs;6573;47.25;11.33333
AT;Voitsberg;9980;47.03333;15.15
AT;Vöcklamarkt;4869;48;13.48333
AT;Velden am Wörthersee;8817;46.61301;14.0413
AT;Trofaiach;8313;47.41667;15
AT;Traismauer;5815;48.35;15.73333
AT;Timelkam;5855;48.00394;13.6076
AT;Thalgau;5501;47.83333;13.25
AT;Tamsweg;6126;47.12808;13.81102
AT;Strobl;3577;47.71667;13.48333
AT;Strasswalchen;7145;47.98333;13.25
AT;Strasshof an der Nordbahn;7637;48.31667;16.66667
AT;Steyregg;4856;48.28513;14.36995
AT;Sölden;3449;46.96667;11
AT;Sierning;8722;48.04343;14.30935
AT;Sieghartskirchen;7062;48.25531;16.01223
AT;Seewalchen;4959;47.95;13.58333
AT;Seekirchen am Wallersee;9865;47.9;13.13333
AT;Seefeld in Tirol;3028;47.33016;11.18786
AT;Seeboden;6221;46.82194;13.495
AT;Schruns;3506;47.06667;9.91667
AT;Schrems;5811;48.78333;15.06667
AT;Schladming;4659;47.39289;13.68699
AT;Scheibbs;4600;48.00474;15.16817
AT;Scharnstein;4631;47.9;13.95
AT;Schärding;4919;48.45;13.43333
AT;Sankt Valentin;9063;48.16667;14.51667
AT;Sankt Jakob;4481;46.54778;14.05722
AT;Sankt Gilgen;3753;47.76667;13.36667
AT;Sankt Georgen im Attergau;4180;47.93333;13.48333
AT;Sankt Florian am Inn;3121;48.43808;13.44812
AT;Sankt Florian;5760;48.16667;13.13333
AT;Rum;8498;47.28333;11.45
AT;Rottenmann;5561;47.51667;14.35
AT;Reutte;5851;47.48333;10.71667
AT;Retz;4139;48.75;15.95
AT;Radstadt;4926;47.38333;13.45
AT;Purkersdorf;8327;48.20769;16.17539
AT;Purgstall;5247;48.05841;15.13478
AT;Pressbaum;6083;48.18333;16.08333
AT;Poysdorf;5653;48.66667;16.63333
AT;Pottendorf;6105;47.9;16.38333
AT;Pinkafeld;5257;47.36667;16.11667
AT;Perg;7644;48.25;14.63333
AT;Paternion;6301;46.71417;13.63611
AT;Pasching;6143;48.25;14.2
AT;Parndorf;4050;47.99963;16.86049
AT;Oberwart;6879;47.28333;16.2
AT;Nüziders;4628;47.16667;9.8
AT;Neustift im Stubaital;4454;47.11667;11.31667
AT;Neusiedl am See;5949;47.94901;16.8417
AT;Neudörfl;4183;47.78333;16.28333
AT;Nenzing;5856;47.18436;9.70539
AT;Mürzzuschlag;9410;47.6;15.68333
AT;Moosburg;4602;46.6575;14.17472
AT;Mondsee;3307;47.85648;13.34908
AT;Mittersill;5680;47.26667;12.48333
AT;Mittelberg;4627;47.3237;10.15463
AT;Micheldorf in Oberösterreich;5902;47.87764;14.13357
AT;Melk;5272;48.22737;15.33186
AT;Mayrhofen;3869;47.16667;11.86667
AT;Mattersburg;6448;47.73333;16.4
AT;Matrei in Osttirol;5076;47;12.53333
AT;Maria Enzersdorf;8085;48.1;16.28333
AT;Loosdorf;3519;48.2;15.4
AT;Lochau;5209;47.53333;9.75
AT;Liezen;6903;47.56667;14.23333
AT;Lenzing;5044;47.97326;13.60846
AT;Leibnitz;7029;46.78161;15.53836
AT;Lauterach;9212;47.48306;9.73306
AT;Langenzersdorf;7733;48.3;16.35
AT;Langenlois;7081;48.46667;15.66667
AT;Landeck;7351;47.13988;10.56593
AT;Laakirchen;9569;47.98188;13.82166
AT;Laa an der Thaya;6084;48.71667;16.38333
AT;Kuchl;6668;47.61667;13.15
AT;Krieglach;5236;47.53333;15.55
AT;Kremsmünster;6626;48.05;14.13333
AT;Kottingbrunn;7184;47.95096;16.22715
AT;Kitzbühel;8818;47.44637;12.39215
AT;Kirchbichl;5115;47.51667;12.08333
AT;Kindberg;5790;47.5;15.45
AT;Judenburg;9992;47.16667;14.66667
AT;Jennersdorf;4319;46.93848;16.14158
AT;Jenbach;6806;47.39173;11.77245
AT;Imst;9225;47.24504;10.73974
AT;Hörsching;5312;48.22627;14.17786
AT;Horn;6485;48.66274;15.65663
AT;Hörbranz;6414;47.55;9.75
AT;Hopfgarten im Brixental;5314;47.45;12.16667
AT;Höchst;7207;47.45934;9.6405
AT;Hinterbrühl;4068;48.08611;16.24809
AT;Himberg;5534;48.08333;16.43333
AT;Herzogenburg;7866;48.28137;15.69431
AT;Hermagor;7242;46.62722;13.36722
AT;Heidenreichstein;4472;48.86667;15.11667
AT;Hartberg;6634;47.28333;15.96667
AT;Hainburg an der Donau;5622;48.14627;16.94504
AT;Haag;5164;48.15;15.5
AT;Grosspetersdorf;3525;47.23333;16.31667
AT;Groß-Gerungs;4820;48.57422;14.95789
AT;Groß-Enzersdorf;8791;48.20278;16.55083
AT;Grödig;6918;47.73333;13.03333
AT;Grieskirchen;4766;48.23333;13.83333
AT;Gratkorn;6806;47.13333;15.35
AT;Gmünd;5811;48.7683;14.9808
AT;Gloggnitz;6213;47.67487;15.93893
AT;Gleisdorf;5245;47.10559;15.71011
AT;Gerasdorf bei Wien;8948;48.29447;16.46765
AT;Garsten;6657;48.0224;14.40747
AT;Gänserndorf;8588;48.33925;16.72016
AT;Gallneukirchen;6282;48.35363;14.41604
AT;Fürstenfeld;5962;47.05;16.08333
AT;Fügen;3734;47.35;11.85
AT;Frohnleiten;6629;47.26667;15.31667
AT;Friesach;5369;46.95528;14.40583
AT;Freistadt;7574;48.51103;14.50453
AT;Frankenmarkt;3581;47.98333;13.41667
AT;Frankenburg;5162;48.06844;13.49065
AT;Fohnsdorf;8203;47.2;14.68333
AT;Fischamend Dorf;4471;48.11884;16.61287
AT;Fieberbrunn;4180;47.48333;12.55
AT;Ferlach;7661;46.52694;14.30194
AT;Feldkirchen an der Donau;5286;48.35;14.05
AT;Feldbach;4877;46.95306;15.88833
AT;Engerwitzdorf;8510;48.34507;14.44204
AT;Eisenerz;5987;47.53333;14.88333
AT;Ebreichsdorf;9509;47.95;16.4
AT;Eberndorf;6088;46.59139;14.64361
AT;Ebenthal;7809;46.60806;14.36417
AT;Ebensee;8376;47.8;13.76667
AT;Ebbs;5088;47.63333;12.21667
AT;Deutsch-Wagram;7153;48.29972;16.56667
AT;Deutschlandsberg;8049;46.81528;15.22222
AT;Bürs;3100;47.14972;9.8
AT;Bruck an der Leitha;7339;48.01667;16.76667
AT;Bruck an der Großglocknerstraße;4649;47.28494;12.8231
AT;Berndorf;8796;47.94567;16.10973
AT;Bergheim;5031;47.83333;13.03333
AT;Bärnbach;4850;47.03333;15.85
AT;Bad Schallerbach;3449;48.23333;13.91667
AT;Bad Sankt Leonhard im Lavanttal;4775;46.96278;14.79167
AT;Bad Hofgastein;7002;47.16667;13.1
AT;Bad Hall;4935;48.03333;14.2
AT;Bad Goisern;7869;47.63333;13.61667
AT;Bad Gastein;5947;47.11547;13.13467
AT;Bad Aussee;5210;47.60998;13.78243
AT;Asten;6516;48.21941;14.41784
AT;Arnoldstein;6923;46.54611;13.71
AT;Anif;4154;47.75;13.06667
AT;Altmünster;9651;47.90219;13.76415
AT;Altach;6040;47.35;9.65
AT;Abtenau;5828;47.56373;13.34599
AT;Absam;6594;47.3;11.5
AT;Finkenstein am Faaker See;8406;46.56556;13.86528
AT;Attnang-Puchheim;8908;48.00833;13.71667
AT;Bad Leonfelden;4029;48.51615;14.29527
AU;Willaston;3209;-34.58333;138.75
AU;Wembley;9614;-31.93333;115.8
AU;Victor Harbour;7760;-35.56667;138.61667
AU;Unley;3585;-34.95;138.6
AU;Tennant Creek;3889;-19.65;134.2
AU;Tanunda;4684;-34.53333;138.95
AU;Swan View;7896;-31.88333;116.05
AU;Swanbourne;3512;-31.96667;115.78333
AU;Subiaco;7627;-31.95;115.8
AU;Strathalbyn;4731;-35.26667;138.9
AU;Spearwood;8941;-32.1;115.78333
AU;Seaton;9704;-34.9;138.51667
AU;Seaford;4654;-35.18333;138.46667
AU;Salisbury;6648;-34.76667;138.63333
AU;Safety Bay;7303;-32.3;115.7
AU;Roxby Downs;4055;-30.56305;136.89546
AU;Maida Vale;4298;-31.95187;116.02764
AU;Pinjarra;3288;-32.63333;115.88333
AU;Nuriootpa;5031;-34.48333;139
AU;Northam;5855;-31.66667;116.66667
AU;Nhulunbuy;3202;-12.23333;136.76667
AU;Newman;5138;-23.36667;119.73333
AU;Narrogin;4238;-32.93333;117.16667
AU;Nairne;3648;-35.03333;138.9
AU;Mundaring;3058;-31.9;116.16667
AU;Mount Barker;8357;-35.06667;138.86667
AU;Mosman Park;8251;-32;115.75
AU;Modbury;5570;-34.83333;138.68333
AU;Midland;3936;-31.9;116
AU;Melville;4822;-28.18333;116.73333
AU;McMinns Lagoon;5025;-12.53333;131.05
AU;McLaren Vale;3853;-35.23333;138.53333
AU;Marion;3626;-35.01667;138.56667
AU;Margaret River;5584;-33.95;115.06667
AU;Manning;3953;-32.01594;115.86714
AU;Manjimup;4240;-34.23333;116.15
AU;Maddington;9137;-32.05;115.98333
AU;Largs Bay;3990;-34.8;138.46667
